user_id,source,category
1840e0b9d4,other,Продукты
4e4f90fcfb,context,Электроника
afea8d72fc,other,Электроника
2824221f38,email,Продукты
9b2ab046f3,other,Электроника
9f39d307c3,context,Электроника
44edeffc91,context,Продукты
704474fa2d,other,Продукты
5da0dedf13,context,Досуг
b71f36a5e4,other,Продукты
79843a685a,context,Продукты
e8447c40e2,email,Досуг
b9ef8fdf47,other,Продукты
98d290be27,other,Электроника
3fff459bda,other,Электроника
fa0079a5a8,other,Досуг
22d2f03a17,context,Досуг
c9fa1b54d5,other,Продукты
3f8e1ccd3f,other,Электроника
81a9988b83,context,Электроника
65f44a2eb7,context,Досуг
3ecff691fd,context,Электроника
dd0e912251,other,Электроника
9250593d55,other,Электроника
37c4e090e4,other,Электроника
22fa3ea76f,other,Электроника
73b876b237,context,Электроника
ed6b87f95d,context,Досуг
4ea17212f8,other,Продукты
4175fd2e58,other,Электроника
d8e3bcee53,context,Продукты
680aa815f9,other,Продукты
4a92a68cf9,other,Электроника
393bcfb298,other,Продукты
06d450cc57,context,Электроника
b60ce22f17,other,Электроника
564202f6bd,context,Электроника
1908683775,other,Электроника
8fd957a463,other,Продукты
7f5f56e517,other,Досуг
bc1a0a7e26,other,Досуг
17639fe89d,other,Досуг
74c9201f84,context,Электроника
bc4ebda0df,other,Досуг
fe4615dd15,other,Досуг
f0a93d52d2,other,Электроника
fe52ded300,other,Электроника
f660dbcc3f,context,Электроника
111c52d9bc,other,Продукты
16dc76e94d,other,Электроника
87f37b380c,other,Продукты
830421d975,other,Продукты
871c1fa9ae,other,Продукты
03b91dba06,other,Электроника
63df9ee9d3,context,Электроника
2ffd6c724d,other,Продукты
af24cffd03,context,Электроника
24300c6d1c,other,Электроника
9ca11a651f,email,Электроника
b7e640032f,other,Электроника
3691ad282b,other,Электроника
00ea2f7484,other,Электроника
0d479d4259,other,Электроника
2c8067b7a3,other,Продукты
b461051101,other,Досуг
78ed39a415,other,Электроника
9e765c6822,other,Продукты
ddd50eaa45,other,Электроника
c21b82499e,context,Электроника
eded5c6792,context,Досуг
e3654c7f1a,other,Досуг
12de58d8e6,other,Продукты
ab8e0c1a01,context,Досуг
ea10f78fec,other,Продукты
de85ea0eb6,other,Электроника
9d25ac3886,context,Досуг
d47dd8b814,other,Электроника
c5e1bf636a,context,Электроника
eb5654cf30,other,Продукты
a86e69db63,other,Продукты
d15327eae3,email,Электроника
5278408c4c,other,Электроника
91802f78b2,other,Электроника
f46375940f,context,Досуг
ec11793734,other,Продукты
f9a3ef9ac2,context,Продукты
716a1b4e10,context,Продукты
426fa041ad,other,Электроника
c0cd6e93e6,other,Электроника
733b99b95b,other,Электроника
116f29a8af,email,Электроника
29586e4061,other,Продукты
da237781d5,context,Продукты
62f37b821c,context,Досуг
69ae0afab1,other,Продукты
7fa3bf64b4,other,Досуг
6812661e1c,other,Электроника
fea946e2a6,other,Электроника
e43ad75353,email,Продукты
